@relation 'butterfly_vs_owl-weka.filters.unsupervised.instance.imagefilter.GaborFilter-DC:\\Users\\trond.tufte\\Desktop\\ImageFilter\\butterfly_vs_owl-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'Gabor Features0' numeric
@attribute 'Gabor Features1' numeric
@attribute 'Gabor Features2' numeric
@attribute 'Gabor Features3' numeric
@attribute 'Gabor Features4' numeric
@attribute 'Gabor Features5' numeric
@attribute 'Gabor Features6' numeric
@attribute 'Gabor Features7' numeric
@attribute 'Gabor Features8' numeric
@attribute 'Gabor Features9' numeric
@attribute 'Gabor Features10' numeric
@attribute 'Gabor Features11' numeric
@attribute 'Gabor Features12' numeric
@attribute 'Gabor Features13' numeric
@attribute 'Gabor Features14' numeric
@attribute 'Gabor Features15' numeric
@attribute 'Gabor Features16' numeric
@attribute 'Gabor Features17' numeric
@attribute 'Gabor Features18' numeric
@attribute 'Gabor Features19' numeric
@attribute 'Gabor Features20' numeric
@attribute 'Gabor Features21' numeric
@attribute 'Gabor Features22' numeric
@attribute 'Gabor Features23' numeric
@attribute 'Gabor Features24' numeric
@attribute 'Gabor Features25' numeric
@attribute 'Gabor Features26' numeric
@attribute 'Gabor Features27' numeric
@attribute 'Gabor Features28' numeric
@attribute 'Gabor Features29' numeric
@attribute 'Gabor Features30' numeric
@attribute 'Gabor Features31' numeric
@attribute 'Gabor Features32' numeric
@attribute 'Gabor Features33' numeric
@attribute 'Gabor Features34' numeric
@attribute 'Gabor Features35' numeric
@attribute 'Gabor Features36' numeric
@attribute 'Gabor Features37' numeric
@attribute 'Gabor Features38' numeric
@attribute 'Gabor Features39' numeric
@attribute 'Gabor Features40' numeric
@attribute 'Gabor Features41' numeric
@attribute 'Gabor Features42' numeric
@attribute 'Gabor Features43' numeric
@attribute 'Gabor Features44' numeric
@attribute 'Gabor Features45' numeric
@attribute 'Gabor Features46' numeric
@attribute 'Gabor Features47' numeric
@attribute 'Gabor Features48' numeric
@attribute 'Gabor Features49' numeric
@attribute 'Gabor Features50' numeric
@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {BUTTERFLY,OWL}

@data
7.244918,0.124715,7.247354,0.124757,7.247354,0.124757,7.244918,0.124715,7.247354,0.124757,7.247354,0.124757,7.487263,0.128887,7.489779,0.12893,7.489779,0.12893,7.487263,0.128887,7.489779,0.12893,7.489779,0.12893,7.48034,0.128768,7.482854,0.128811,7.482854,0.128811,7.48034,0.128768,7.482854,0.128811,7.482854,0.128811,7.460724,0.12843,7.463232,0.128473,7.463232,0.128473,7.460724,0.12843,7.463232,0.128473,7.463232,0.128473,7.404962,0.12747,7.407451,0.127513,7.407451,0.127513,7.404962,0.12747,7.407451,0.127513,7.407451,0.127513,BUTTERFLY
10.362418,0.088138,10.365901,0.088168,10.365901,0.088168,10.362418,0.088138,10.365901,0.088168,10.365901,0.088168,10.709043,0.091087,10.712643,0.091117,10.712643,0.091117,10.709043,0.091087,10.712643,0.091117,10.712643,0.091117,10.699141,0.091002,10.702738,0.091033,10.702738,0.091033,10.699141,0.091002,10.702738,0.091033,10.702738,0.091033,10.671085,0.090764,10.674672,0.090794,10.674672,0.090794,10.671085,0.090764,10.674672,0.090794,10.674672,0.090794,10.591328,0.090085,10.594888,0.090116,10.594888,0.090116,10.591328,0.090085,10.594888,0.090116,10.594888,0.090116,BUTTERFLY
6.613832,0.117988,6.616055,0.118028,6.616055,0.118028,6.613832,0.117988,6.616055,0.118028,6.616055,0.118028,6.835066,0.121935,6.837363,0.121976,6.837363,0.121976,6.835066,0.121935,6.837363,0.121976,6.837363,0.121976,6.828746,0.121822,6.831041,0.121863,6.831041,0.121863,6.828746,0.121822,6.831041,0.121863,6.831041,0.121863,6.810839,0.121503,6.813129,0.121544,6.813129,0.121544,6.810839,0.121503,6.813129,0.121544,6.813129,0.121544,6.759934,0.120595,6.762206,0.120635,6.762206,0.120635,6.759934,0.120595,6.762206,0.120635,6.762206,0.120635,BUTTERFLY
6.880004,0.08791,6.882317,0.08794,6.882317,0.08794,6.880004,0.08791,6.882317,0.08794,6.882317,0.08794,7.110142,0.090851,7.112532,0.090881,7.112532,0.090881,7.110142,0.090851,7.112532,0.090881,7.112532,0.090881,7.103568,0.090767,7.105956,0.090797,7.105956,0.090797,7.103568,0.090767,7.105956,0.090797,7.105956,0.090797,7.08494,0.090529,7.087322,0.090559,7.087322,0.090559,7.08494,0.090529,7.087322,0.090559,7.087322,0.090559,7.031987,0.089852,7.03435,0.089882,7.03435,0.089882,7.031987,0.089852,7.03435,0.089882,7.03435,0.089882,BUTTERFLY
10.505696,0.112916,10.509228,0.112954,10.509228,0.112954,10.505696,0.112916,10.509228,0.112954,10.509228,0.112954,10.857114,0.116693,10.860764,0.116732,10.860764,0.116732,10.857114,0.116693,10.860764,0.116732,10.860764,0.116732,10.847076,0.116585,10.850722,0.116624,10.850722,0.116624,10.847076,0.116585,10.850722,0.116624,10.850722,0.116624,10.818632,0.116279,10.822268,0.116318,10.822268,0.116318,10.818632,0.116279,10.822268,0.116318,10.822268,0.116318,10.737772,0.11541,10.741381,0.115449,10.741381,0.115449,10.737772,0.11541,10.741381,0.115449,10.741381,0.115449,BUTTERFLY
6.260694,0.123516,6.262799,0.123558,6.262799,0.123558,6.260694,0.123516,6.262799,0.123558,6.262799,0.123558,6.470116,0.127648,6.472291,0.127691,6.472291,0.127691,6.470116,0.127648,6.472291,0.127691,6.472291,0.127691,6.464133,0.12753,6.466306,0.127573,6.466306,0.127573,6.464133,0.12753,6.466306,0.127573,6.466306,0.127573,6.447183,0.127196,6.44935,0.127238,6.44935,0.127238,6.447183,0.127196,6.44935,0.127238,6.44935,0.127238,6.398996,0.126245,6.401147,0.126287,6.401147,0.126287,6.398996,0.126245,6.401147,0.126287,6.401147,0.126287,BUTTERFLY
10.397659,0.100588,10.401154,0.100622,10.401154,0.100622,10.397659,0.100588,10.401154,0.100622,10.401154,0.100622,10.745463,0.103953,10.749075,0.103988,10.749075,0.103988,10.745463,0.103953,10.749075,0.103988,10.749075,0.103988,10.735528,0.103857,10.739136,0.103892,10.739136,0.103892,10.735528,0.103857,10.739136,0.103892,10.739136,0.103892,10.707376,0.103585,10.710975,0.10362,10.710975,0.10362,10.707376,0.103585,10.710975,0.10362,10.710975,0.10362,10.627348,0.102811,10.63092,0.102845,10.63092,0.102845,10.627348,0.102811,10.63092,0.102845,10.63092,0.102845,BUTTERFLY
9.633704,0.128012,9.636942,0.128055,9.636942,0.128055,9.633704,0.128012,9.636942,0.128055,9.636942,0.128055,9.955954,0.132294,9.9593,0.132339,9.9593,0.132339,9.955954,0.132294,9.9593,0.132339,9.9593,0.132339,9.946748,0.132172,9.950092,0.132217,9.950092,0.132217,9.946748,0.132172,9.950092,0.132217,9.950092,0.132217,9.920665,0.131826,9.924,0.13187,9.924,0.13187,9.920665,0.131826,9.924,0.13187,9.924,0.13187,9.846517,0.13084,9.849826,0.130884,9.849826,0.130884,9.846517,0.13084,9.849826,0.130884,9.849826,0.130884,BUTTERFLY
9.332313,0.092615,9.33545,0.092646,9.33545,0.092646,9.332313,0.092615,9.33545,0.092646,9.33545,0.092646,9.644482,0.095713,9.647724,0.095745,9.647724,0.095745,9.644482,0.095713,9.647724,0.095745,9.647724,0.095745,9.635564,0.095625,9.638803,0.095657,9.638803,0.095657,9.635564,0.095625,9.638803,0.095657,9.638803,0.095657,9.610297,0.095374,9.613528,0.095406,9.613528,0.095406,9.610297,0.095374,9.613528,0.095406,9.613528,0.095406,9.538468,0.094661,9.541675,0.094693,9.541675,0.094693,9.538468,0.094661,9.541675,0.094693,9.541675,0.094693,BUTTERFLY
11.360073,0.106745,11.363892,0.106781,11.363892,0.106781,11.360073,0.106745,11.363892,0.106781,11.363892,0.106781,11.74007,0.110316,11.744017,0.110353,11.744017,0.110353,11.74007,0.110316,11.744017,0.110353,11.744017,0.110353,11.729215,0.110214,11.733158,0.110251,11.733158,0.110251,11.729215,0.110214,11.733158,0.110251,11.733158,0.110251,11.698458,0.109925,11.70239,0.109962,11.70239,0.109962,11.698458,0.109925,11.70239,0.109962,11.70239,0.109962,11.611022,0.109103,11.614925,0.10914,11.614925,0.10914,11.611022,0.109103,11.614925,0.10914,11.614925,0.10914,BUTTERFLY
10.005297,0.115551,10.00866,0.11559,10.00866,0.11559,10.005297,0.115551,10.00866,0.11559,10.00866,0.11559,10.339977,0.119416,10.343452,0.119456,10.343452,0.119456,10.339977,0.119416,10.343452,0.119456,10.343452,0.119456,10.330416,0.119306,10.333889,0.119346,10.333889,0.119346,10.330416,0.119306,10.333889,0.119346,10.333889,0.119346,10.303327,0.118993,10.30679,0.119033,10.30679,0.119033,10.303327,0.118993,10.30679,0.119033,10.30679,0.119033,10.226318,0.118104,10.229756,0.118143,10.229756,0.118143,10.226318,0.118104,10.229756,0.118143,10.229756,0.118143,BUTTERFLY
9.394467,0.121737,9.397625,0.121778,9.397625,0.121778,9.394467,0.121737,9.397625,0.121778,9.397625,0.121778,9.708714,0.125809,9.711978,0.125852,9.711978,0.125852,9.708714,0.125809,9.711978,0.125852,9.711978,0.125852,9.699738,0.125693,9.702998,0.125735,9.702998,0.125735,9.699738,0.125693,9.702998,0.125735,9.702998,0.125735,9.674302,0.125363,9.677554,0.125406,9.677554,0.125406,9.674302,0.125363,9.677554,0.125406,9.677554,0.125406,9.601995,0.124427,9.605223,0.124468,9.605223,0.124468,9.601995,0.124427,9.605223,0.124468,9.605223,0.124468,BUTTERFLY
11.069301,0.089287,11.073022,0.089317,11.073022,0.089317,11.069301,0.089287,11.073022,0.089317,11.073022,0.089317,11.439572,0.092274,11.443417,0.092305,11.443417,0.092305,11.439572,0.092274,11.443417,0.092305,11.443417,0.092305,11.428995,0.092189,11.432837,0.09222,11.432837,0.09222,11.428995,0.092189,11.432837,0.09222,11.432837,0.09222,11.399025,0.091947,11.402856,0.091978,11.402856,0.091978,11.399025,0.091947,11.402856,0.091978,11.402856,0.091978,11.313827,0.09126,11.31763,0.09129,11.31763,0.09129,11.313827,0.09126,11.31763,0.09129,11.31763,0.09129,BUTTERFLY
8.23932,0.115899,8.242089,0.115938,8.242089,0.115938,8.23932,0.115899,8.242089,0.115938,8.242089,0.115938,8.514927,0.119775,8.517789,0.119816,8.517789,0.119816,8.514927,0.119775,8.517789,0.119816,8.517789,0.119816,8.507054,0.119665,8.509913,0.119705,8.509913,0.119705,8.507054,0.119665,8.509913,0.119705,8.509913,0.119705,8.484746,0.119351,8.487598,0.119391,8.487598,0.119391,8.484746,0.119351,8.487598,0.119391,8.487598,0.119391,8.42133,0.118459,8.424161,0.118499,8.424161,0.118499,8.42133,0.118459,8.424161,0.118499,8.424161,0.118499,BUTTERFLY
6.474002,0.124116,6.476178,0.124157,6.476178,0.124157,6.474002,0.124116,6.476178,0.124157,6.476178,0.124157,6.690559,0.128267,6.692808,0.12831,6.692808,0.12831,6.690559,0.128267,6.692808,0.12831,6.692808,0.12831,6.684373,0.128149,6.68662,0.128192,6.68662,0.128192,6.684373,0.128149,6.68662,0.128192,6.68662,0.128192,6.666844,0.127813,6.669085,0.127856,6.669085,0.127856,6.666844,0.127813,6.669085,0.127856,6.669085,0.127856,6.617016,0.126857,6.61924,0.1269,6.61924,0.1269,6.617016,0.126857,6.61924,0.1269,6.61924,0.1269,BUTTERFLY
8.360227,0.103462,8.363037,0.103497,8.363037,0.103497,8.360227,0.103462,8.363037,0.103497,8.363037,0.103497,8.639878,0.106923,8.642783,0.106959,8.642783,0.106959,8.639878,0.106923,8.642783,0.106959,8.642783,0.106959,8.63189,0.106824,8.634791,0.10686,8.634791,0.10686,8.63189,0.106824,8.634791,0.10686,8.634791,0.10686,8.609255,0.106544,8.612149,0.10658,8.612149,0.10658,8.609255,0.106544,8.612149,0.10658,8.612149,0.10658,8.544908,0.105748,8.54778,0.105784,8.54778,0.105784,8.544908,0.105748,8.54778,0.105784,8.54778,0.105784,BUTTERFLY
7.33162,0.088985,7.334084,0.089015,7.334084,0.089015,7.33162,0.088985,7.334084,0.089015,7.334084,0.089015,7.576864,0.091962,7.579411,0.091993,7.579411,0.091993,7.576864,0.091962,7.579411,0.091993,7.579411,0.091993,7.569858,0.091877,7.572403,0.091908,7.572403,0.091908,7.569858,0.091877,7.572403,0.091908,7.572403,0.091908,7.550008,0.091636,7.552546,0.091667,7.552546,0.091667,7.550008,0.091636,7.552546,0.091667,7.552546,0.091667,7.493578,0.090951,7.496097,0.090982,7.496097,0.090982,7.493578,0.090951,7.496097,0.090982,7.496097,0.090982,BUTTERFLY
10.628611,0.093727,10.632184,0.093759,10.632184,0.093759,10.628611,0.093727,10.632184,0.093759,10.632184,0.093759,10.984141,0.096862,10.987833,0.096895,10.987833,0.096895,10.984141,0.096862,10.987833,0.096895,10.987833,0.096895,10.973985,0.096773,10.977673,0.096805,10.977673,0.096805,10.973985,0.096773,10.977673,0.096805,10.977673,0.096805,10.945208,0.096519,10.948887,0.096552,10.948887,0.096552,10.945208,0.096519,10.948887,0.096552,10.948887,0.096552,10.863402,0.095798,10.867053,0.09583,10.867053,0.09583,10.863402,0.095798,10.867053,0.09583,10.867053,0.09583,BUTTERFLY
6.543161,0.104655,6.54536,0.10469,6.54536,0.10469,6.543161,0.104655,6.54536,0.10469,6.54536,0.10469,6.762031,0.108156,6.764304,0.108192,6.764304,0.108192,6.762031,0.108156,6.764304,0.108192,6.764304,0.108192,6.755779,0.108056,6.75805,0.108092,6.75805,0.108092,6.755779,0.108056,6.75805,0.108092,6.75805,0.108092,6.738063,0.107772,6.740328,0.107808,6.740328,0.107808,6.738063,0.107772,6.740328,0.107808,6.740328,0.107808,6.687702,0.106967,6.68995,0.107003,6.68995,0.107003,6.687702,0.106967,6.68995,0.107003,6.68995,0.107003,BUTTERFLY
8.307927,0.119994,8.310719,0.120034,8.310719,0.120034,8.307927,0.119994,8.310719,0.120034,8.310719,0.120034,8.585829,0.124007,8.588715,0.124049,8.588715,0.124049,8.585829,0.124007,8.588715,0.124049,8.588715,0.124049,8.57789,0.123893,8.580774,0.123934,8.580774,0.123934,8.57789,0.123893,8.580774,0.123934,8.580774,0.123934,8.555397,0.123568,8.558272,0.123609,8.558272,0.123609,8.555397,0.123568,8.558272,0.123609,8.558272,0.123609,8.491452,0.122644,8.494307,0.122686,8.494307,0.122686,8.491452,0.122644,8.494307,0.122686,8.494307,0.122686,BUTTERFLY
7.986745,0.094455,7.98943,0.094487,7.98943,0.094487,7.986745,0.094455,7.98943,0.094487,7.98943,0.094487,8.253904,0.097614,8.256678,0.097647,8.256678,0.097647,8.253904,0.097614,8.256678,0.097647,8.256678,0.097647,8.246272,0.097524,8.249044,0.097557,8.249044,0.097557,8.246272,0.097524,8.249044,0.097557,8.249044,0.097557,8.224648,0.097268,8.227413,0.097301,8.227413,0.097301,8.224648,0.097268,8.227413,0.097301,8.227413,0.097301,8.163176,0.096541,8.16592,0.096574,8.16592,0.096574,8.163176,0.096541,8.16592,0.096574,8.16592,0.096574,BUTTERFLY
9.377684,0.117099,9.380836,0.117138,9.380836,0.117138,9.377684,0.117099,9.380836,0.117138,9.380836,0.117138,9.69137,0.121015,9.694628,0.121056,9.694628,0.121056,9.69137,0.121015,9.694628,0.121056,9.694628,0.121056,9.682409,0.120904,9.685664,0.120944,9.685664,0.120944,9.682409,0.120904,9.685664,0.120944,9.685664,0.120944,9.657019,0.120587,9.660265,0.120627,9.660265,0.120627,9.657019,0.120587,9.660265,0.120627,9.660265,0.120627,9.584841,0.119685,9.588063,0.119725,9.588063,0.119725,9.584841,0.119685,9.588063,0.119725,9.588063,0.119725,BUTTERFLY
7.170646,0.10047,7.173056,0.100503,7.173056,0.100503,7.170646,0.10047,7.173056,0.100503,7.173056,0.100503,7.410506,0.10383,7.412997,0.103865,7.412997,0.103865,7.410506,0.10383,7.412997,0.103865,7.412997,0.103865,7.403654,0.103734,7.406143,0.103769,7.406143,0.103769,7.403654,0.103734,7.406143,0.103769,7.406143,0.103769,7.38424,0.103462,7.386722,0.103497,7.386722,0.103497,7.38424,0.103462,7.386722,0.103497,7.386722,0.103497,7.329049,0.102689,7.331512,0.102723,7.331512,0.102723,7.329049,0.102689,7.331512,0.102723,7.331512,0.102723,BUTTERFLY
11.795209,0.085938,11.799174,0.085967,11.799174,0.085967,11.795209,0.085938,11.799174,0.085967,11.799174,0.085967,12.189761,0.088812,12.193859,0.088842,12.193859,0.088842,12.189761,0.088812,12.193859,0.088842,12.193859,0.088842,12.178491,0.08873,12.182584,0.08876,12.182584,0.08876,12.178491,0.08873,12.182584,0.08876,12.182584,0.08876,12.146555,0.088497,12.150638,0.088527,12.150638,0.088527,12.146555,0.088497,12.150638,0.088527,12.150638,0.088527,12.05577,0.087836,12.059823,0.087866,12.059823,0.087866,12.05577,0.087836,12.059823,0.087866,12.059823,0.087866,BUTTERFLY
9.07744,0.103032,9.080492,0.103066,9.080492,0.103066,9.07744,0.103032,9.080492,0.103066,9.080492,0.103066,9.381083,0.106478,9.384236,0.106514,9.384236,0.106514,9.381083,0.106478,9.384236,0.106514,9.384236,0.106514,9.372409,0.10638,9.37556,0.106415,9.37556,0.106415,9.372409,0.10638,9.37556,0.106415,9.37556,0.106415,9.347832,0.106101,9.350974,0.106136,9.350974,0.106136,9.347832,0.106101,9.350974,0.106136,9.350974,0.106136,9.277965,0.105308,9.281084,0.105343,9.281084,0.105343,9.277965,0.105308,9.281084,0.105343,9.281084,0.105343,BUTTERFLY
6.58316,0.116044,6.585373,0.116083,6.585373,0.116083,6.58316,0.116044,6.585373,0.116083,6.585373,0.116083,6.803369,0.119926,6.805656,0.119966,6.805656,0.119966,6.803369,0.119926,6.805656,0.119966,6.805656,0.119966,6.797078,0.119815,6.799363,0.119855,6.799363,0.119855,6.797078,0.119815,6.799363,0.119855,6.799363,0.119855,6.779254,0.119501,6.781533,0.119541,6.781533,0.119541,6.779254,0.119501,6.781533,0.119541,6.781533,0.119541,6.728585,0.118608,6.730847,0.118648,6.730847,0.118648,6.728585,0.118608,6.730847,0.118648,6.730847,0.118648,BUTTERFLY
7.351009,0.106276,7.35348,0.106311,7.35348,0.106311,7.351009,0.106276,7.35348,0.106311,7.35348,0.106311,7.596902,0.109831,7.599455,0.109868,7.599455,0.109868,7.596902,0.109831,7.599455,0.109868,7.599455,0.109868,7.589878,0.109729,7.592429,0.109766,7.592429,0.109766,7.589878,0.109729,7.592429,0.109766,7.592429,0.109766,7.569975,0.109441,7.572519,0.109478,7.572519,0.109478,7.569975,0.109441,7.572519,0.109478,7.572519,0.109478,7.513396,0.108623,7.515921,0.10866,7.515921,0.10866,7.513396,0.108623,7.515921,0.10866,7.515921,0.10866,BUTTERFLY
